title,release_year,genres,runtime,director,vote_average,vote_count,popularity,budget,revenue
City of Angels,1998,"Romance, Drama, Fantasy",114,Brad Silberling,6.814,2261,2.7445,55000000,198685114
The Last Days of Disco,1998,"Comedy, Drama, Romance",113,Whit Stillman,6.206,201,0.8212,8000000,3020601
The Odd Couple II,1998,"Adventure, Comedy",97,Howard Deutch,6.309,141,3.3466,0,18912328
My Giant,1998,"Comedy, Drama, Family",103,Michael Lehmann,5.286,99,5.3561,0,7985929
He Got Game,1998,Drama,136,Spike Lee,6.746,765,3.0777,25000000,21567853
The Gingerbread Man,1998,Thriller,114,Robert Altman,5.6,168,2.6305,25000000,1700000
Illtown,1996,,103,Nick Gomez,5.0,2,0.3124,0,0
Slappy and the Stinkers,1998,"Family, Adventure, Comedy",78,Barnet Kellman,5.2,40,1.9935,0,80837
Live Flesh,1997,"Drama, Romance, Thriller",103,Pedro Almodóvar,7.043,703,4.1313,0,1535558
Zero Effect,1998,"Comedy, Crime, Drama, Mystery",116,Jake Kasdan,6.2,189,0.561,5000000,1980338
Nil by Mouth,1997,Drama,128,Gary Oldman,6.841,140,2.3069,9000000,0
Ratchet,1996,Thriller,114,John Johnson,4.0,4,0.198,0,0
The Borrowers,1997,"Adventure, Fantasy, Action, Comedy, Family",87,Peter Hewitt,6.022,504,6.9073,29000000,22619699
Prince Valiant,1997,"Adventure, Fantasy",91,Anthony Hickox,5.151,73,2.1852,0,0
"I Love You, Don't Touch Me!",1997,"Comedy, Romance",86,Julie Davis,5.333,6,2.3699,0,0
Leather Jacket Love Story,1998,"Comedy, Drama, Romance",85,David DeCoteau,5.0,10,2.7869,67000,0
Love Walked In,1997,"Drama, Thriller",95,Juan José Campanella,3.333,3,1.1215,0,0
"An Alan Smithee Film: Burn, Hollywood, Burn",1998,Comedy,86,Alan Smithee,3.84,53,4.5437,10000000,45779
Kissing a Fool,1998,"Comedy, Romance",93,Doug Ellin,5.492,71,2.101,0,0
Krippendorf's Tribe,1998,"Comedy, Family",94,Todd Holland,4.523,87,1.0385,0,0
Kurt & Courtney,1998,"Documentary, Music",95,Nick Broomfield,6.025,120,1.373,0,890324
The Real Blonde,1998,"Comedy, Drama, Romance",105,Tom DiCillo,5.375,64,2.4136,0,83488
Mr. Nice Guy,1997,"Crime, Action, Comedy",95,Sammo Hung Kam-Bo,6.529,715,4.6497,12700000,18800000
Taste of Cherry,1997,Drama,99,Abbas Kiarostami,7.674,666,3.7393,0,0
Character,1997,"History, Drama",122,Mike van Diem,7.4,109,1.6866,4500000,0
Junk Mail,1997,"Comedy, Thriller",83,Pål Sletaune,6.2,25,1.8196,0,0
Species II,1998,"Science Fiction, Action, Horror",93,Peter Medak,5.165,765,2.4783,35000000,19200000
Major League: Back to the Minors,1998,Comedy,100,John Warren,5.0,111,1.5297,18000000,3572443
Sour Grapes,1998,Comedy,91,Larry David,5.7,29,2.8201,0,0
Wild Man Blues,1997,"Music, Documentary",105,Barbara Kopple,6.6,30,0.173,0,425788
The Big Hit,1998,"Action, Adventure, Comedy, Crime, Thriller",91,Kirk Wong Chi-Keung,5.946,455,4.4302,13000000,27007143
Tarzan and the Lost City,1998,"Adventure, Action",83,Carl Schenkel,4.15,40,3.0661,20000000,2172941
Black Dog,1998,Action,88,Kevin Hooks,6.406,277,4.4249,30000000,12951088
"Dancer, Texas Pop. 81",1998,"Comedy, Drama, Family",97,Tim McCanlies,7.0,12,1.9702,0,565592
A Friend of the Deceased,1997,"Drama, Comedy",100,Viacheslav Kryshtofovych,4.333,9,0.2516,145443,0
Go Now,1995,"Romance, Drama, TV Movie",81,Michael Winterbottom,6.324,17,2.1216,0,0
Les Misérables,1998,"Crime, Drama, History, Romance",134,Bille August,7.212,661,5.1599,14000000,14096321
Still Breathing,1997,"Comedy, Drama, Romance",109,James F. Robinson,6.415,41,7.786,0,0
Clockwatchers,1997,Drama,96,Jill Sprecher,6.1,70,1.9068,0,537948
Deep Impact,1998,"Action, Drama, Science Fiction",121,Mimi Leder,6.232,3177,6.4335,75000000,349464664
Little Men,1998,Drama,98,Rodney Gibbons,4.0,3,2.5032,0,0
Woo,1998,"Comedy, Romance",84,Daisy von Scherler Mayer,4.2,39,2.9316,13000000,8026971
The Hanging Garden,1997,Drama,91,Thom Fitzgerald,6.21,31,3.013,0,0
Lawn Dogs,1997,Drama,101,John Duigan,7.074,108,1.9203,7000000,106404
Quest for Camelot,1998,"Fantasy, Animation, Drama, Romance, Family",86,Frederik Du Chau,6.8,830,2.6617,40000000,38210798
Godzilla,1998,"Science Fiction, Action, Thriller",138,Roland Emmerich,5.643,4081,5.2819,130000000,379014294
Bulworth,1998,"Comedy, Drama, Crime, Thriller, Romance",108,Warren Beatty,6.3,259,3.0779,30000000,29202884
Fear and Loathing in Las Vegas,1998,"Adventure, Drama, Comedy",118,Terry Gilliam,7.213,4835,3.6931,18500000,10700000
The Opposite of Sex,1998,"Comedy, Drama",105,Don Roos,6.1,212,1.3632,5000000,5879254
I Got the Hook-Up,1998,"Action, Comedy",93,Michael Martin,5.4,37,3.6629,0,0
Almost Heroes,1998,"Adventure, Comedy, Western",90,Christopher Guest,5.392,204,4.4785,30000000,6100000
Hope Floats,1998,"Romance, Drama, Comedy",114,Forest Whitaker,6.402,485,5.5471,30000000,81471882
Insomnia,1997,"Thriller, Crime, Mystery",96,Erik Skjoldbjærg,7.0,296,3.807,0,227569
Little Boy Blue,1997,"Drama, Thriller",105,Antonio Tibaldi,5.968,38,3.2136,0,0
The Ugly,1997,"Horror, Thriller",93,Scott Reynolds,5.906,53,2.3359,0,0
A Perfect Murder,1998,"Crime, Thriller, Drama",107,Andrew Davis,6.54,1485,3.8004,60000000,128038368
Beyond Silence,1996,"Drama, Music",109,Caroline Link,6.862,76,5.1878,0,0
Six Days Seven Nights,1998,"Comedy, Action, Adventure, Romance",102,Ivan Reitman,6.095,1551,5.1159,70000000,164839294
Can't Hardly Wait,1998,"Comedy, Romance",100,Harry Elfont,6.223,565,4.3432,10000000,25605015
Cousin Bette,1998,"Comedy, Drama, Romance",108,Des McAnuff,5.478,46,3.4558,0,1295194
High Art,1998,"Drama, Romance",101,Lisa Cholodenko,6.182,143,4.3087,0,1929168
The Land Girls,1998,"Drama, Romance, War",111,David Leland,5.8,26,1.4682,0,0
Passion in the Desert,1997,Adventure,91,Lavinia Currier,5.5,12,2.6166,0,0
Children of Heaven,1997,"Drama, Family",88,Majid Majidi,7.921,680,3.3131,180000,925402
Dear Jesse,1998,Documentary,82,Tim Kirkman,3.8,5,0.0264,0,0
Dream for an Insomniac,1996,"Romance, Comedy, Drama",90,Tiffanie DeBartolo,5.0,38,1.8513,0,0
Hav Plenty,1997,"Comedy, Romance",92,Christopher Scott Cherot,5.125,12,3.0179,0,0
Henry Fool,1998,"Comedy, Drama",137,Hal Hartley,6.582,104,3.5328,900000,1334786
Marie from the Bay of Angels,1997,"Drama, Romance",93,Manuel Pradal,5.3,10,2.2904,0,0
Mr. Jealousy,1998,"Comedy, Romance",105,Noah Baumbach,5.8,45,2.3948,0,301796
Mulan,1998,"Animation, Family, Adventure",88,Tony Bancroft,7.903,10162,12.0084,90000000,304320254
Resurrection Man,1998,"Thriller, Crime, Drama",102,Marc Evans,6.1,11,7.3906,0,0
The X-Files,1998,"Mystery, Science Fiction, Thriller",121,Rob Bowman,6.895,1717,3.3105,66000000,189198313
I Went Down,1997,"Action, Comedy, Crime",107,Paddy Breathnach,5.9,26,0.3136,0,0
Doctor Dolittle,1998,"Comedy, Family, Fantasy",85,Betty Thomas,5.71,3186,5.4748,71000000,294500000
Out of Sight,1998,"Romance, Comedy, Crime",123,Steven Soderbergh,6.7,1343,1.6777,48000000,77745966
Picnic at Hanging Rock,1975,"Drama, Mystery",107,Peter Weir,7.2,849,1.1978,460000,5125000
Smoke Signals,1998,"Drama, Comedy",89,Chris Eyre,6.8,109,4.6656,0,0
Voyage to the Beginning of the World,1997,Drama,95,Manoel de Oliveira,6.6,17,6.0205,0,0
Buffalo '66,1998,"Drama, Romance, Comedy",110,Vincent Gallo,7.1,997,3.7088,1500000,2375097
Armageddon,1998,"Action, Thriller, Science Fiction, Adventure",151,Michael Bay,6.833,8307,6.3697,140000000,553799566
Lethal Weapon 4,1998,"Action, Adventure, Comedy, Crime, Thriller",127,Richard Donner,6.599,2804,2.9079,140000000,285444603
Madeline,1998,"Family, Comedy, Drama",89,Daisy von Scherler Mayer,6.219,237,1.5965,20000000,29967750
Small Soldiers,1998,"Comedy, Adventure, Fantasy, Science Fiction, Action",110,Joe Dante,6.552,2240,3.9162,40000000,54682547
Pi,1998,"Mystery, Drama, Thriller",84,Darren Aronofsky,7.113,2372,2.9872,60000,3221152
Whatever,1998,Drama,112,Susan Skoog,5.688,8,4.901,0,0
There's Something About Mary,1998,"Romance, Comedy",120,Peter Farrelly,6.618,5148,5.7064,23000000,369900000
Plan 9 from Outer Space,1959,"Science Fiction, Horror",79,Edward D. Wood Jr.,4.219,573,2.9741,60000,0
Wings,1927,"Drama, Action, War, Romance",144,William A. Wellman,7.2,305,1.5578,2000000,3600000
The Broadway Melody,1929,"Music, Romance, Drama",101,Harry Beaumont,5.2,155,3.3836,379000,4358000
All Quiet on the Western Front,1930,"Drama, War",133,Lewis Milestone,7.8,876,1.7814,1448864,3270000
Cimarron,1931,"Western, Drama",123,Wesley Ruggles,5.6,135,7.1162,1433000,1383000
Grand Hotel,1932,"Drama, Romance",112,Edmund Goulding,7.0,324,1.2844,700000,2594000
Cavalcade,1933,"Drama, War",112,Frank Lloyd,5.525,122,11.4424,1180280,7630000
Mutiny on the Bounty,1935,"Adventure, Drama, History",132,Frank Lloyd,7.355,366,1.0288,1950000,4460000
The Great Ziegfeld,1936,"Music, Drama, Romance",185,Robert Z. Leonard,6.298,136,2.3384,2183000,4673000
The Life of Emile Zola,1937,"Drama, History",116,William Dieterle,6.7,145,1.5252,0,0
You Can't Take It with You,1938,"Comedy, Romance",126,Frank Capra,7.5,427,3.5783,1644736,7433101
How Green Was My Valley,1941,Drama,118,John Ford,7.3,432,1.0558,1250000,6000000
Mrs. Miniver,1942,"Drama, Romance, War",134,William Wyler,7.057,274,4.2063,1344000,13500000
Going My Way,1944,"Drama, Comedy, Music",126,Leo McCarey,6.7,186,1.5577,0,16300000
The Lost Weekend,1945,Drama,101,Billy Wilder,7.6,633,2.8229,1250000,11000000
The Best Years of Our Lives,1946,"Drama, Romance",171,William Wyler,7.786,703,2.4739,2100000,23650000
Gentleman's Agreement,1947,Drama,118,Elia Kazan,6.977,264,3.4,2000000,7800000
Hamlet,1948,Drama,153,Laurence Olivier,7.4,274,4.6084,750000,0
All the King's Men,1949,Drama,109,Robert Rossen,6.963,231,2.4773,0,0
The Greatest Show on Earth,1952,"Drama, Romance",152,Cecil B. DeMille,6.3,260,2.2019,4000000,36000000
From Here to Eternity,1953,"War, Romance, Drama",118,Fred Zinnemann,7.28,677,2.3057,1650000,30500000
On the Waterfront,1954,"Crime, Drama, Romance",108,Elia Kazan,7.9,1689,2.221,910000,9600631
Marty,1955,"Drama, Romance",90,Delbert Mann,7.4,420,2.6088,343000,3000000
West Side Story,1961,"Crime, Drama, Romance",153,Jerome Robbins,7.2,1973,2.4589,6000000,43700000
Tom Jones,1963,"Comedy, Adventure, History, Romance",128,Tony Richardson,5.9,229,3.1495,1000000,37600000
A Man for All Seasons,1966,"Drama, History",120,Fred Zinnemann,7.3,466,2.5175,3900000,28350000
In the Heat of the Night,1967,"Crime, Drama, Mystery, Thriller",109,Norman Jewison,7.649,1176,1.7646,2000000,27379978
Oliver!,1968,"Drama, Family",153,Carol Reed,7.024,457,6.5945,10000000,37400000
Midnight Cowboy,1969,Drama,113,John Schlesinger,7.501,1524,2.2993,3600000,44785053
The French Connection,1971,"Action, Crime, Thriller",104,William Friedkin,7.499,2032,2.0366,1800000,41200000
Rocky,1976,Drama,120,John G. Avildsen,7.8,8306,7.8864,1000000,225253184
Kramer vs. Kramer,1979,Drama,105,Robert Benton,7.567,2356,2.3011,8000000,106260000
Ordinary People,1980,Drama,124,Robert Redford,7.5,664,2.3174,6000000,54766923
Chariots of Fire,1981,"Drama, History",123,Hugh Hudson,6.785,985,3.8297,5500000,58972904
Terms of Endearment,1983,"Drama, Comedy",132,James L. Brooks,7.114,797,4.4014,8000000,108423749
Out of Africa,1985,"History, Romance, Drama",161,Sydney Pollack,7.2,1470,5.165,31000000,227514205
The Last Emperor,1987,"Drama, History",163,Bernardo Bertolucci,7.586,1823,5.7663,23800000,44000000
Rain Man,1988,Drama,134,Barry Levinson,7.752,6764,6.3006,25000000,354825435
Driving Miss Daisy,1989,Drama,99,Bruce Beresford,7.237,1691,2.4048,7500000,145793296
Take the Money and Run,1969,"Comedy, Crime",85,Woody Allen,7.105,769,3.8057,1530000,6080000
Klute,1971,"Thriller, Mystery, Crime",114,Alan J. Pakula,6.733,485,1.3604,2500000,12512637
Repo Man,1984,"Comedy, Science Fiction",92,Alex Cox,6.643,645,1.5065,1500000,2300000
Metropolitan,1990,"Comedy, Drama, Romance",99,Whit Stillman,6.9,171,7.5028,225000,2900000
Labyrinth,1986,"Adventure, Family, Fantasy",102,Jim Henson,7.275,2605,4.9289,25000000,12729917
The Breakfast Club,1985,"Comedy, Drama",98,John Hughes,7.728,8311,5.208,1000000,51530442
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,Horror,87,Jack Sholder,5.775,2013,4.4213,3000000,29999213
A Nightmare on Elm Street 3: Dream Warriors,1987,"Horror, Thriller, Fantasy",96,Chuck Russell,6.698,1934,2.0849,4450000,44793222
A Nightmare on Elm Street 4: The Dream Master,1988,"Horror, Thriller",93,Renny Harlin,5.866,1539,2.3824,6500000,49369899
A Nightmare on Elm Street: The Dream Child,1989,"Horror, Thriller",89,Stephen Hopkins,5.415,1367,4.5015,8000000,22168359
Freddy's Dead: The Final Nightmare,1991,"Horror, Thriller",89,Rachel Talalay,5.306,1419,3.4936,10000000,34872033
Friday the 13th,1980,Horror,95,Sean S. Cunningham,6.411,3183,4.6028,550000,59754601
Friday the 13th Part 2,1981,"Horror, Thriller",86,Steve Miner,6.204,1827,3.8801,1250000,21722776
Friday the 13th Part III,1982,"Horror, Thriller",95,Steve Miner,5.895,1541,3.4664,2200000,36690067
Friday the 13th: The Final Chapter,1984,"Horror, Thriller",91,Joseph Zito,6.133,1442,2.6195,2200000,32981717
Friday the 13th: A New Beginning,1985,"Horror, Thriller",92,Danny Steinmann,5.284,1245,3.0381,2200000,21930418
Friday the 13th Part VI: Jason Lives,1986,"Horror, Thriller",86,Tom McLoughlin,6.253,1291,4.102,3000000,19472525
Friday the 13th Part VII: The New Blood,1988,"Horror, Thriller",88,John Carl Buechler,5.478,1157,3.4151,2800000,19170001
Friday the 13th Part VIII: Jason Takes Manhattan,1989,"Horror, Thriller",100,Rob Hedden,4.953,1159,4.547,5300000,14343976
Halloween,1978,"Horror, Thriller",91,John Carpenter,7.56,5981,7.9673,325000,70260597
Halloween II,1981,"Horror, Thriller",92,Rick Rosenthal,6.579,2171,3.057,2500000,25533818
Halloween III: Season of the Witch,1982,"Horror, Science Fiction",99,Tommy Lee Wallace,5.251,1489,2.2871,2500000,14400000
Halloween 4: The Return of Michael Myers,1988,"Horror, Thriller",88,Dwight H. Little,6.17,2006,2.8626,5000000,17768757
Halloween 5: The Revenge of Michael Myers,1989,"Horror, Thriller",98,Dominique Othenin-Girard,5.305,1286,3.9244,3000000,11642254
Prom Night,1980,"Horror, Mystery, Thriller",93,Paul Lynch,5.724,477,4.2488,1500000,14796236
Hello Mary Lou: Prom Night II,1987,"Horror, Fantasy, Thriller",97,Bruce Pittman,6.061,206,1.6261,0,2683519
Prom Night III: The Last Kiss,1990,"Comedy, Horror, Thriller",96,Ron Oliver,5.2,85,0.583,0,0
Prom Night IV: Deliver Us from Evil,1992,"Horror, Thriller",93,Clay Borris,4.675,77,0.5771,0,0
Child's Play,1988,Horror,87,Tom Holland,6.733,3201,5.3434,9000000,44196684
Child's Play 2,1990,"Horror, Thriller",84,John Lafia,6.346,1956,4.3122,13000000,35763605
Child's Play 3,1991,"Horror, Thriller",90,Jack Bender,5.9,1688,6.2781,13000000,20560255
Poltergeist,1982,Horror,114,Tobe Hooper,7.153,3207,4.5124,10700000,121733131
Poltergeist II: The Other Side,1986,"Horror, Thriller",91,Brian Gibson,6.001,737,1.5371,19000000,40996665
Poltergeist III,1988,"Horror, Thriller",98,Gary Sherman,5.244,531,1.5894,10500000,14144000
The Exorcist,1973,Horror,122,William Friedkin,7.74,8356,7.4077,12000000,441306145
Exorcist II: The Heretic,1977,Horror,118,John Boorman,4.549,762,1.8526,14000000,30749142
The Exorcist III,1990,Horror,110,William Peter Blatty,6.262,822,5.1529,9300000,39024251
Lethal Weapon,1987,"Adventure, Action, Comedy, Thriller, Crime",110,Richard Donner,7.284,4823,5.0855,15000000,120207127
Lethal Weapon 2,1989,"Action, Adventure, Comedy, Crime, Thriller",114,Richard Donner,7.022,3585,4.6361,25000000,227853986
Lethal Weapon 3,1992,"Action, Comedy, Thriller, Crime",118,Richard Donner,6.701,3082,3.6908,35000000,321731527
Gremlins,1984,"Fantasy, Horror, Comedy",106,Joe Dante,7.137,6719,7.8302,11000000,153083102
Gremlins 2: The New Batch,1990,"Comedy, Horror, Fantasy",106,Joe Dante,6.523,2770,4.2855,50000000,41482207
The Goonies,1985,"Adventure, Comedy, Family",114,Richard Donner,7.511,5996,6.7481,19000000,69649283
The Mask of Zorro,1998,"Action, Adventure",136,Martin Campbell,6.573,4190,5.3098,95000000,250288523
Polish Wedding,1998,"Comedy, Drama",105,Theresa Connelly,5.0,44,2.2669,0,0
"This World, Then the Fireworks",1997,"Crime, Drama, Thriller",100,Michael Oblowitz,5.0,29,2.6893,0,51618
Soylent Green,1973,"Science Fiction, Thriller, Crime, Mystery",97,Richard Fleischer,6.9,1356,10.6427,0,3600000
Metropolis,1927,"Drama, Science Fiction",153,Fritz Lang,8.1,2963,3.3478,5300000,1350322
Back to the Future Part II,1989,"Adventure, Comedy, Science Fiction",108,Robert Zemeckis,7.774,13478,9.4243,40000000,332000000
Back to the Future Part III,1990,"Adventure, Comedy, Science Fiction",119,Robert Zemeckis,7.49,11147,6.8813,40000000,244527583
The Poseidon Adventure,1972,"Adventure, Drama, Thriller",117,Ronald Neame,7.097,946,2.0718,5000000,84563118
Freaky Friday,1976,"Fantasy, Comedy, Family",95,Gary Nelson,6.1,289,4.1516,0,25942000
The Absent-Minded Professor,1961,"Comedy, Family, Science Fiction",96,Robert Stevenson,6.481,186,4.0876,2000000,0
The Apple Dumpling Gang Rides Again,1979,"Comedy, Family, Western",88,Vincent McEveety,6.4,70,1.1623,5450000,20931111
Babes in Toyland,1961,"Comedy, Fantasy, Family, Music",106,Jack Donohue,5.8,99,1.6311,0,0
Bambi,1942,"Animation, Drama, Family",69,David Hand,7.012,5882,5.3918,858000,267447150
Seven Samurai,1954,"Action, Drama",207,Akira Kurosawa,8.451,4027,6.5433,2000000,105000000
Dangerous Liaisons,1988,"Drama, Romance",119,Stephen Frears,7.191,1231,6.5905,14000000,34670720
Dune,1984,"Action, Science Fiction, Adventure",137,David Lynch,6.175,3280,5.1057,40000000,31502434
The Last Temptation of Christ,1988,Drama,164,Martin Scorsese,7.2,1142,2.4433,7000000,33773585
The Godfather Part III,1990,"Crime, Drama, Thriller",162,Francis Ford Coppola,7.417,6589,8.5024,54000000,136766062
The Rapture,1991,"Mystery, Drama, Fantasy, Thriller",100,Michael Tolkin,5.8,90,3.6693,3000000,1277404
Lolita,1997,"Drama, Romance",137,Adrian Lyne,7.119,1895,10.4884,62000000,1100000
Disturbing Behavior,1998,"Mystery, Horror, Science Fiction",84,David Nutter,5.759,398,5.5314,15000000,17514980
Jane Austen's Mafia!,1998,"Comedy, Crime",84,Jim Abrahams,5.4,206,2.5454,10000000,19889299
Saving Private Ryan,1998,"Drama, History, War",169,Steven Spielberg,8.221,16649,10.8067,70000000,481840909
Billy's Hollywood Screen Kiss,1998,"Comedy, Romance",92,Tommy O'Haver,5.643,42,0.6569,0,2020700
"East Palace, West Palace",1996,Drama,95,Zhang Yuan,6.2,24,1.961,0,0
The Million Dollar Duck,1971,"Comedy, Family",92,Vincent McEveety,5.8,92,2.3459,0,0
The Barefoot Executive,1971,"Comedy, Family",96,Robert Butler,5.477,43,0.5117,0,0
The Black Cauldron,1985,"Animation, Action, Adventure, Family, Fantasy",80,Ted Berman,6.418,1395,5.7246,25000000,21300000
The Black Hole,1979,"Adventure, Science Fiction, Action",98,Gary Nelson,5.829,521,1.3065,20000000,35841901
Blackbeard's Ghost,1968,"Comedy, Fantasy, Family",106,Robert Stevenson,6.7,150,3.0415,0,0
Blank Check,1994,"Comedy, Family",93,Rupert Wainwright,5.937,515,1.3765,13000000,30600000
Candleshoe,1977,Family,101,Norman Tokar,6.867,117,0.7147,0,0
The Cat from Outer Space,1978,"Comedy, Family, Science Fiction",104,Norman Tokar,5.938,144,1.6945,4000000,0
Cheetah,1989,"Drama, Family",83,Jeff Blyth,6.1,41,1.7623,5000000,8153677
The Computer Wore Tennis Shoes,1969,"Comedy, Family, Drama",91,Robert Butler,6.0,153,2.9863,0,0
Condorman,1981,"Comedy, Action, Adventure",90,Charles Jarrott,5.486,138,2.4085,0,0
D2: The Mighty Ducks,1994,"Comedy, Action, Family, Drama",106,Sam Weisman,6.182,628,3.4828,0,45610410
Darby O'Gill and the Little People,1959,"Adventure, Family, Fantasy, Romance",90,Robert Stevenson,6.6,166,2.7218,0,0
The Devil and Max Devlin,1981,"Fantasy, Comedy",96,Steven Hilliard Stern,5.8,37,2.1142,0,16000000
A Far Off Place,1993,"Drama, Adventure",108,Mikael Salomon,6.1,59,1.8104,0,12890752
Flight of the Navigator,1986,"Family, Science Fiction, Adventure",90,Randal Kleiser,6.936,899,3.649,9000000,18564613
The Gnome-Mobile,1967,"Fantasy, Comedy, Family",85,Robert Stevenson,6.189,66,3.9561,0,0
The Great Mouse Detective,1986,"Animation, Family, Adventure, Mystery",74,Ron Clements,7.042,1744,3.381,14000000,38600000
The Happiest Millionaire,1967,"Comedy, Drama, Family, Music",172,Norman Tokar,6.8,38,1.3714,0,0
Herbie Goes Bananas,1980,"Fantasy, Comedy, Family, Adventure",93,Vincent McEveety,5.3,244,1.6003,0,18000000
Herbie Goes to Monte Carlo,1977,"Romance, Comedy, Family, Action, Adventure",105,Vincent McEveety,5.926,338,4.562,0,29000000
Hocus Pocus,1993,"Fantasy, Comedy, Family",96,Kenny Ortega,7.04,3195,5.796,28000000,51663767
"Honey, I Blew Up the Kid",1992,"Adventure, Comedy, Family, Science Fiction",89,Randal Kleiser,5.272,1226,4.6772,40000000,58662452
"Honey, I Shrunk the Kids",1989,"Adventure, Comedy, Family, Science Fiction",93,Joe Johnston,6.309,3206,6.2752,18000000,222724172
Hot Lead & Cold Feet,1978,"Action, Comedy, Family, Western",90,Robert Butler,5.803,33,0.7498,0,0
In Search of the Castaways,1962,"Adventure, Family",98,Robert Stevenson,6.454,76,0.7209,0,0
The Incredible Journey,1963,"Adventure, Family",80,Fletcher Markle,6.652,115,1.8414,0,0
The Negotiator,1998,"Action, Crime, Drama, Thriller",140,F. Gary Gray,7.1,2258,6.0687,50000000,44547681
The Parent Trap,1998,"Comedy, Family, Romance",128,Nancy Meyers,7.216,4384,10.1718,15000000,92108518
BASEketball,1998,Comedy,103,David Zucker,6.112,620,7.9027,25000000,7027290
Full Tilt Boogie,1998,Documentary,97,Sarah Kelly,6.4,57,1.168,0,0
The Governess,1998,"Drama, Romance",115,Sandra Goldbacher,5.759,27,4.7105,0,0
Seventh Heaven,1997,Drama,91,Benoît Jacquot,4.636,11,0.2547,0,0
Roger & Me,1989,"Documentary, History, Comedy",91,Michael Moore,7.099,308,2.1296,160000,6706368
The Purple Rose of Cairo,1985,"Fantasy, Comedy, Romance",82,Woody Allen,7.395,1094,3.1026,15000000,10631333
Out of the Past,1947,"Crime, Thriller",97,Jacques Tourneur,7.6,624,3.9617,0,0
Doctor Zhivago,1965,"Drama, Romance, War",193,David Lean,7.536,1216,4.4238,11000000,111858363
Fanny and Alexander,1982,"Fantasy, Drama, Mystery",188,Ingmar Bergman,7.779,834,1.9694,6000000,6800000
The Trip to Bountiful,1985,Drama,108,Peter Masterson,7.205,56,2.0879,0,7218340
Tender Mercies,1983,"Drama, Music, Romance",92,Bruce Beresford,6.7,143,2.651,4500000,8400000
And the Band Played On,1993,"Drama, TV Movie",140,Roger Spottiswoode,6.4,105,3.2198,0,0
The 'Burbs,1989,"Comedy, Horror, Thriller",102,Joe Dante,6.769,1304,2.5304,18000000,49100000
Fandango,1985,"Comedy, Drama",91,Kevin Reynolds,6.7,189,1.3812,7000000,91666
The Night Porter,1974,"War, Drama, Romance",118,Liliana Cavani,6.745,369,2.8473,0,0
Mephisto,1981,Drama,145,István Szabó,7.2,137,0.8068,0,0
Blue Velvet,1986,"Mystery, Thriller, Crime, Drama",120,David Lynch,7.609,3638,3.6801,6000000,8636706
The Journey of Natty Gann,1985,"Adventure, Family, Drama",101,Jeremy Kagan,6.816,160,1.3215,0,9708373
The Jungle Book,1967,"Family, Animation, Adventure",78,Wolfgang Reitherman,7.276,6494,9.3189,4000000,378000000
Kidnapped,1960,"Action, Adventure, Drama, Family",97,Robert Stevenson,6.4,27,2.5147,0,0
Lady and the Tramp,1955,"Family, Animation, Romance",76,Clyde Geronimi,7.123,5496,5.4459,4000000,36359037
The Little Mermaid,1989,"Animation, Family, Fantasy",83,Ron Clements,7.351,8209,9.7281,40000000,211343479
The Mighty Ducks,1992,"Comedy, Family, Drama, Action",101,Stephen Herek,6.563,939,5.6937,10000000,50752337
The Muppet Christmas Carol,1992,"Music, Comedy, Family, Fantasy, Drama",86,Brian Henson,7.4,1083,2.6159,12000000,27300000
Newsies,1992,"Drama, Music, History, Family",121,Kenny Ortega,6.756,288,5.9191,15000000,2819485
One Hundred and One Dalmatians,1961,"Adventure, Animation, Comedy, Family",79,Wolfgang Reitherman,7.2,6503,7.2578,3600000,303000000
One Magic Christmas,1985,"Family, Fantasy",88,Phillip Borsos,5.8,108,1.9186,0,13677222
Peter Pan,1953,"Animation, Family, Adventure, Fantasy",77,Clyde Geronimi,7.2,5601,6.4921,4000000,87400000
Popeye,1980,"Action, Adventure, Comedy, Family",114,Robert Altman,5.5,663,2.6883,20000000,49823037
The Rescuers Down Under,1990,"Animation, Adventure, Family, Fantasy",77,Hendel Butoy,6.641,1348,1.4947,38000000,47431461
The Rescuers,1977,"Fantasy, Family, Animation, Adventure",78,John Lounsbery,6.779,2616,9.055,7500000,169015869
Return from Witch Mountain,1978,"Adventure, Fantasy, Science Fiction, Family",95,John Hough,5.9,233,1.4216,0,6393000
Return to Oz,1985,"Adventure, Family, Fantasy",109,Walter Murch,6.7,1048,2.5952,25000000,11137801
The Rocketeer,1991,"Action, Adventure, Science Fiction, Family",108,Joe Johnston,6.469,999,4.6701,42000000,46704056
The Shaggy D.A.,1976,"Comedy, Family, Fantasy",91,Robert Stevenson,5.765,81,2.1778,0,0
Sleeping Beauty,1959,"Fantasy, Animation, Romance, Family",75,Clyde Geronimi,6.942,5350,5.8843,6000000,51600000
Something Wicked This Way Comes,1983,"Fantasy, Mystery, Horror",95,Jack Clayton,6.435,193,1.7999,20000000,8400000
Son of Flubber,1963,"Comedy, Family, Science Fiction",100,Robert Stevenson,5.9,64,1.7674,0,22129412
Song of the South,1946,"Family, Animation",94,Harve Foster,6.5,289,3.2786,2125000,65000000
Splash,1984,"Comedy, Romance, Fantasy",110,Ron Howard,6.259,1427,5.9052,8000000,69800000
Squanto: A Warrior's Tale,1994,"Adventure, History",102,Xavier Koller,6.7,40,0.826,0,3337685
